Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.118785,0.0,0.0,977
Random,0.05,0.0502,0.117815,0.3673,0.2857,977
ConfOnly,0.05,0.0502,0.11739,0.3673,0.5102,977
SH-DA++,0.05,0.0502,0.118239,0.3673,0.0816,977
Random,0.1,0.1003,0.116966,0.4592,0.1735,977
ConfOnly,0.1,0.1003,0.116359,0.4694,0.4082,977
SH-DA++,0.1,0.1003,0.11739,0.4286,0.0714,977
Random,0.2,0.1996,0.114844,0.4923,0.2359,977
ConfOnly,0.2,0.1996,0.112782,0.4974,0.3538,977
SH-DA++,0.2,0.1996,0.115329,0.4513,0.1538,977
Random,0.3,0.2999,0.113206,0.4812,0.2082,977
ConfOnly,0.3,0.2999,0.109932,0.4778,0.3686,977
SH-DA++,0.3,0.2999,0.113328,0.4846,0.1843,977
