Model,Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,AER,CVR,N_valid
baseline,AgentA_Only,0.0,0.0,0.118785,0.0,0.0,977
baseline,Random,0.05,0.0502,0.118785,0.0,0.0,977
baseline,ConfOnly,0.05,0.0502,0.118785,0.0,0.0,977
baseline,Random,0.1,0.1003,0.118785,0.0,0.0,977
baseline,ConfOnly,0.1,0.1003,0.118785,0.0,0.0,977
baseline,Random,0.2,0.1996,0.118785,0.0,0.0,977
baseline,ConfOnly,0.2,0.1996,0.118785,0.0,0.0,977
baseline,Random,0.3,0.2999,0.118785,0.0,0.0,977
baseline,ConfOnly,0.3,0.2999,0.118785,0.0,0.0,977
smolvlm,SH-DA++,0.05,0.0502,0.119088,0.102,0.2653,977
smolvlm,SH-DA++,0.1,0.1003,0.119452,0.102,0.2143,977
smolvlm,SH-DA++,0.2,0.1996,0.120361,0.1077,0.2,977
smolvlm,SH-DA++,0.3,0.2999,0.120907,0.1024,0.1877,977
llava,SH-DA++,0.05,0.0502,0.119573,0.1429,0.551,977
llava,SH-DA++,0.1,0.1003,0.120543,0.1633,0.5,977
llava,SH-DA++,0.2,0.1996,0.125152,0.3487,0.3846,977
llava,SH-DA++,0.3,0.2999,0.130427,0.4334,0.3447,977
qwen2.5_vl,SH-DA++,0.05,0.0502,0.119149,0.2653,0.3878,977
qwen2.5_vl,SH-DA++,0.1,0.1003,0.119391,0.3163,0.3571,977
qwen2.5_vl,SH-DA++,0.2,0.1996,0.117572,0.3949,0.3179,977
qwen2.5_vl,SH-DA++,0.3,0.2999,0.11545,0.4198,0.2901,977
qwen3.5,SH-DA++,0.05,0.0502,0.118785,0.0,0.0408,977
qwen3.5,SH-DA++,0.1,0.1003,0.118785,0.0,0.0408,977
qwen3.5,SH-DA++,0.2,0.1996,0.118785,0.0,0.0256,977
qwen3.5,SH-DA++,0.3,0.2999,0.118785,0.0,0.0341,977
gemini,SH-DA++,0.05,0.0502,0.118785,0.0,0.0,977
gemini,SH-DA++,0.1,0.1003,0.118785,0.0,0.0,977
gemini,SH-DA++,0.2,0.1996,0.118785,0.0,0.0,977
gemini,SH-DA++,0.3,0.2999,0.118785,0.0,0.0,977
