router_name,domain,budget,n_samples,final_accuracy
AgentA_Only,finance,0.0,929,0.0
AgentA_Only,geology,0.0,1385,0.0
AgentA_Only,medicine,0.0,1110,0.0
DGCR,finance,0.1,929,0.389666
DGCR,finance,0.2,929,0.389666
DGCR,finance,0.3,929,0.389666
DGCR,geology,0.1,1385,0.365343
DGCR,geology,0.2,1385,0.402166
DGCR,geology,0.3,1385,0.41083
DGCR,medicine,0.1,1110,0.372072
DGCR,medicine,0.2,1110,0.389189
DGCR,medicine,0.3,1110,0.401802
DWUR,finance,0.1,929,0.389666
DWUR,finance,0.2,929,0.389666
DWUR,finance,0.3,929,0.389666
DWUR,geology,0.1,1385,0.363899
DWUR,geology,0.2,1385,0.389892
DWUR,geology,0.3,1385,0.412274
DWUR,medicine,0.1,1110,0.367568
DWUR,medicine,0.2,1110,0.383784
DWUR,medicine,0.3,1110,0.403604
GCR,finance,0.1,929,0.392896
GCR,finance,0.2,929,0.409042
GCR,finance,0.3,929,0.426265
GCR,geology,0.1,1385,0.353069
GCR,geology,0.2,1385,0.378339
GCR,geology,0.3,1385,0.384116
GCR,medicine,0.1,1110,0.371171
GCR,medicine,0.2,1110,0.382883
GCR,medicine,0.3,1110,0.412613
WUR,finance,0.1,929,0.396125
WUR,finance,0.2,929,0.398278
WUR,finance,0.3,929,0.402583
WUR,geology,0.1,1385,0.360289
WUR,geology,0.2,1385,0.377617
WUR,geology,0.3,1385,0.389892
WUR,medicine,0.1,1110,0.374775
WUR,medicine,0.2,1110,0.390991
WUR,medicine,0.3,1110,0.405405
