Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,Boundary_Deletion_Recall@B,Substitution_CER,P95_Latency_MS,Avg_Token_Usage,Total_Token_Usage,N_Latency_Valid,N_Token_Valid,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.088383,0.0,0.055109,0.0,0.0,0.0,0,0,0.0,0.0,3424
GCR,0.1,0.0999,0.085423,0.233474,0.053193,375319.91,0.0,0.0,342,0,0.4561,0.4971,3424
WUR,0.1,0.0999,0.085597,0.177215,0.05342,373576.241,0.0,0.0,342,0,0.4942,0.3333,3424
DGCR,0.1,0.0999,0.084622,0.165963,0.053211,381201.843,0.0,0.0,342,0,0.5439,0.3363,3424
DWUR,0.1,0.0999,0.085771,0.150492,0.053472,605494.105,0.0,0.0,342,0,0.4415,0.2339,3424
GCR,0.2,0.2001,0.081958,0.37834,0.051295,422884.452,0.0,0.0,685,0,0.508,0.3927,3424
WUR,0.2,0.2001,0.083664,0.272855,0.052166,599976.674,0.0,0.0,685,0,0.4993,0.2394,3424
DGCR,0.2,0.2001,0.081435,0.26301,0.051069,605182.764,0.0,0.0,685,0,0.5445,0.2263,3424
DWUR,0.2,0.2001,0.083055,0.248945,0.052062,600562.27,0.0,0.0,685,0,0.4569,0.2263,3424
GCR,0.3,0.2999,0.078858,0.4782,0.049102,390010.027,0.0,0.0,1027,0,0.5346,0.3398,3424
WUR,0.3,0.2999,0.082707,0.367089,0.051417,601043.42,0.0,0.0,1027,0,0.4761,0.2269,3424
DGCR,0.3,0.2999,0.080565,0.343179,0.050564,640219.365,0.0,0.0,1027,0,0.4966,0.1597,3424
DWUR,0.3,0.2999,0.080478,0.35443,0.050442,648071.214,0.0,0.0,1027,0,0.4888,0.1811,3424
